Category ID	Category Name	Number	Name


160	Sticker	sticker	Sticker (Unsorted, Generic Entry)
85	Homemaker	1	Homemaker Bookcase 2 x 4 x 4
2	Baseplate	10	Baseplate 24 x 32
1	Antenna	104	Antenna 6H - no stud receptacle
1	Antenna	105	Antenna Whip with Flag
2	Baseplate	10p01	Baseplate 24 x 32 with Set 363/555 Dots Pattern
2	Baseplate	10p02	Baseplate 24 x 32 with Set 354/560 Dots Pattern
2	Baseplate	10p03	Baseplate 24 x 32 with Set 358 Dots Pattern
2	Baseplate	10p04	Baseplate 24 x 32 with Set 345 Dots Pattern
2	Baseplate	10p05	Baseplate 24 x 32 with Set 351/545 Dots Pattern
43	Wheel	122c01	Plate, Modified 2 x 2 with Wheels Red
43	Wheel	122c02	Plate, Modified 2 x 2 with Wheels White
111	Tire & Tread	132-old	Tire Smooth Old Style - Small
98	Road Sign	14	Road Sign Round
20	Minifig, Body Part	15	Legs Old
150	Minifig, Torso	17	Torso Old
18	Minifig, Utensil	194	Minifig, Utensil Hose Nozzle Simple
85	Homemaker	2	Homemaker Cupboard 4 x 4 x 4
36	Technic	200	Technic Rack Winder Axle
36	Technic	202	Technic Rack Winder
115	Windscreen	21	Windscreen 2 x 4 x 1 2/3
76	Flag	2335	Flag 2 x 2 Square
738	Flag, Decorated	2335p01	Flag 2 x 2 Square with Diver Blue Pattern on Both Sides
738	Flag, Decorated	2335p02	Flag 2 x 2 Square with Diver Stripe Pattern
738	Flag, Decorated	2335p03	Flag 2 x 2 Square with Checkered Pattern (Printed)
738	Flag, Decorated	2335p04	Flag 2 x 2 Square with Imperial Soldier Black Symbol over White Cross on Blue Background Pattern
738	Flag, Decorated	2335p43	Flag 2 x 2 Square with Black Falcon Original Pattern (rounder bottomed Shield)
738	Flag, Decorated	2335p44	Flag 2 x 2 Square with Wolfpack Pattern
479	Cockpit	2336	Cockpit Space Nose
479	Cockpit	2336p68	Cockpit Space Nose with MTron Logo Pattern
479	Cockpit	2336p90	Cockpit Space Nose with Classic Space Logo Pattern
115	Windscreen	2337	Windscreen 4 x 4 x 2 Canopy Extender
6	Brick, Arch	2339u	Brick, Arch 1 x 5 x 4 - Undetermined Bow, Undetermined Underside
106	Tail	2340	Tail 4 x 1 x 3
32	Slope, Inverted	2341	Slope, Inverted 45 3 x 1 Double
18	Minifig, Utensil	2342	Minifig, Utensil Control Panel
18	Minifig, Utensil	2343	Minifig, Utensil Goblet
91	Panel	2345	Panel 3 x 3 x 6 Corner Wall
461	Panel, Decorated	2345p01	Panel 3 x 3 x 6 Corner Wall with Black Lines Pattern
461	Panel, Decorated	2345p44	Panel 3 x 3 x 6 Corner Wall with Blacktron I Logo Pattern
111	Tire & Tread	2346	Tire 30 x 10.5 Offset Tread
81	Glass	2348a	Glass for Hinge Car Roof 4 x 4 Sunroof without Ridges
81	Glass	2348b	Glass for Hinge Car Roof 4 x 4 Sunroof with Ridges
22	Hinge	2349	Hinge Vehicle Roof 4 x 4 Sunroof
74	Crane	2350a	Crane Arm Outside, Old Narrow
74	Crane	2351	Crane Arm Center
115	Windscreen	2352	Windscreen 2 x 4 x 3 Frame
5	Brick	2356	Brick 4 x 6
